Type,Length,Width
R_egg,440.83,242.13
R_egg,430.61,236.1
R_egg,438.47,242.23
R_egg,391.84,243.31
R_egg,403.25,231.41
R_egg,470.62,239.06
R_egg,432.92,252.43
R_egg,439.42,272.62
R_egg,392.35,238.89
R_egg,420.31,250.72
R_egg,415.02,247.14
R_egg,427.29,241.41
R_egg,431.63,240.68
R_egg,444.59,239.5
R_egg,428.93,233.67
R_egg,388.58,232.35
R_egg,441.38,239.89
R_egg,436.62,230.6
R_egg,427.46,235.96
R_egg,427.1,246.14
R_egg,459.86,248.86
R_egg,425.49,221.05
R_egg,436.62,215.32
R_egg,406.77,238.1
R_egg,416.13,247.96
R_egg,433.64,236.13
R_egg,435.11,233.5
R_egg,431.7,225.43
R_egg,415.24,226.14
R_egg,412.52,216.04
R_egg,419.36,218.02
R_egg,433.9,246.67
R_egg,425.81,241.37
R_egg,429.85,247.44
R_egg,440.99,254.96
R_egg,440.4,239.19
R_egg,430.9,241.92
R_egg,437.84,268.1
R_egg,424.66,233.58
R_egg,413.28,256.4
R_egg,434.3,236.6
R_egg,406.69,235.93
R_egg,413.5,239.03
R_egg,394.35,245.34
UR_egg,480.81,337.48
UR_egg,476.82,341.93
UR_egg,470.52,337.52
UR_egg,475.72,310.23
UR_egg,476.61,322.28
UR_egg,519.39,310.01
UR_egg,493.04,320.78
UR_egg,502.05,320.56
UR_egg,468.65,283.7
UR_egg,462,331.56
UR_egg,484.88,338.36
UR_egg,535.11,308.8
UR_egg,518.36,343.29
UR_egg,513.4,337.7
UR_egg,436.16,315.04
UR_egg,471.6,313.69
UR_egg,504.28,314.66
UR_egg,410.98,277.87
UR_egg,465.09,332.59
UR_egg,498.04,316.17
UR_egg,515.65,322.82
UR_egg,536.97,341.79
UR_egg,455.69,319
UR_egg,535.29,330.1
UR_egg,462.63,349.9
UR_egg,493.58,317.25
UR_egg,501.86,272.33
UR_egg,521.67,307.18
UR_egg,470.09,316.94
UR_egg,517.58,341.48
UR_egg,443.5,317.09
UR_egg,477.12,311.92
UR_egg,561.07,316.81
UR_egg,516.57,287.4
UR_egg,541.89,325.75
UR_egg,482.19,328.77
UR_egg,529.9,296.35
UR_egg,481.62,309.14
UR_egg,498.92,296.41
UR_egg,513.19,333.01
UR_egg,526.32,316.48
UR_egg,522.65,308.74
UR_egg,511.32,328.32
UR_egg,562.9,299.17
UR_egg,452.28,310.18
UR_egg,466.15,319.58
UR_egg,432.98,329.37
UR_egg,406.29,294.78
UR_egg,459.81,317.87
T_egg,723.551,463.971
T_egg,685.161,533.969
T_egg,640.279,517.104
T_egg,650.636,466.393
T_egg,653.401,532.137
T_egg,526.564,488.365
T_egg,581.886,477.138
T_egg,595.314,485.687
T_egg,577.062,414.88
T_egg,585.936,550.332
T_egg,617.175,513.174
T_egg,589.576,568.197
T_egg,597.72,435.147
T_egg,616.796,513.997
T_egg,717.989,586.528
T_egg,632.561,474.255
T_egg,639.26,556.258
T_egg,722.831,586.431
T_egg,574.907,551.082
T_egg,575.876,418.617
T_egg,655.787,540.379
T_egg,606.95,536.473
T_egg,512.549,522.913
T_egg,785.715,684.001
T_egg,574.836,492.764
T_egg,838.074,691.463
T_egg,811.322,671.107
T_egg,645.574,567.342
